Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Aaron Brooks,CHI,31,33,20,13,15.8,2.9,6.9,41.7,1.1,2.8,38.3,0.8,1,81.8,0.4,1.5,1.9,2.3,1,0.2,0.2,2,0,0,7.7,1.8
Aaron Gordon,ORL,20,41,19,22,19.6,2.7,5.5,49.6,0.5,1.3,34.5,1.3,2,68.8,1.7,3.3,5,1.2,0.8,0.6,0.7,1.9,1,0,7.3,-1
Aaron Harrison,CHA,21,10,6,4,4.2,0.2,0.7,28.6,0.1,0.3,33.3,0.2,0.6,33.3,0.3,0.5,0.8,0,0.1,0.2,0,0.1,0,0,0.7,0.2
Adreian Payne,MIN,25,30,11,19,9.5,1.1,2.7,41.3,0.3,0.7,38.1,0.3,0.4,66.7,0.3,1.7,2,0.5,0.6,0.3,0.3,1.5,0,0,2.7,-1.4
Al Horford,ATL,30,45,26,19,31.5,6.5,13,49.8,0.9,2.9,31.8,1.3,1.6,78.1,2.2,5,7.2,3,1.3,0.8,1.5,1.9,10,0,15.2,1.2
Al Jefferson,CHA,31,19,12,7,25.2,5.6,11.7,48.2,0,0,0,1.3,2.2,57.1,1.2,4.9,6.1,1.6,0.7,0.7,1.1,2.4,4,0,12.5,-0.6
Al-Farouq Aminu,POR,25,46,20,26,29.1,3.8,9.2,41.1,1.5,4.2,35.2,1.4,2,72.5,1.2,5.3,6.5,1.5,1.6,0.8,0.7,2.2,6,0,10.5,0.2
Alec Burks,UTA,24,28,12,16,27.1,4.8,11.6,40.9,1,2.7,38.7,3.8,5,75.2,0.6,3,3.6,2.1,1.8,0.6,0.1,2.5,0,0,14.3,-0.9
Alex Len,PHX,23,42,14,28,19.2,2.5,5.5,45.9,0,0.1,25,1.6,2.3,71.6,1.7,4.1,5.9,0.9,1.4,0.5,0.9,2.5,4,0,6.7,-1.6
Alexis Ajinca,NOP,28,33,9,24,12.4,2.2,4.2,52.5,0,0,0,0.5,0.6,94.7,1.2,2.9,4.1,0.5,0.5,0.3,0.5,2.2,2,0,5,-0.7
Allen Crabbe,POR,24,46,20,26,26,4.3,9.2,46.5,1.4,3.7,38.4,1,1.2,83.9,0.3,2.4,2.6,1.2,0.9,0.8,0.1,2.5,0,0,11,-1.3
Alonzo Gee,NOP,29,43,16,27,20.9,1.6,3.3,50,0.3,0.9,29.7,0.5,0.6,84,0.8,2.5,3.3,1,0.7,0.8,0.2,2.3,0,0,4,-2.6
Amar'e Stoudemire,MIA,33,16,6,10,11.1,1.6,2.9,55.3,0,0,0,0.9,1.3,71.4,0.9,1.6,2.5,0.6,0.9,0.2,0.4,1.1,0,0,4.2,-2.7
Amir Johnson,BOS,29,41,20,21,23.9,3.5,6,58.9,0.2,0.8,27.3,0.9,1.6,54.7,2.1,4.1,6.2,1.6,1.2,0.7,1.2,2.9,4,0,8.1,2
Anderson Varejao,GSW,33,26,18,8,9.1,0.9,2.2,40.4,0,0,0,0.5,0.7,76.5,0.7,2,2.7,0.7,0.5,0.3,0.1,1,0,0,2.3,1.8
Andre Drummond,DET,22,44,23,21,33.8,7.3,14,51.9,0,0.1,33.3,2.7,7.7,35.4,5.4,10,15.4,0.9,2.1,1.7,1.5,3.1,37,0,17.3,3.3
Andre Iguodala,GSW,32,44,40,4,27.6,2.9,5.9,49.6,1,2.5,38.7,0.8,1.1,71.4,0.9,3.4,4.3,3.4,1.2,1.3,0.4,1.7,1,0,7.6,8.3
Andre Miller,SAS,40,20,6,14,10.8,1.4,2.3,60.9,0.1,0.1,50,0.7,0.9,77.8,0.3,0.6,0.9,2.4,0.9,0.5,0,1.4,0,0,3.6,0.5
Andre Roberson,OKC,24,44,33,11,21.9,2.1,4.2,49.5,0.4,1.4,27.4,0.5,0.8,61.1,1.1,2.3,3.4,0.8,0.6,0.9,0.7,1.8,0,0,5,4.9
Andrea Bargnani,BKN,30,38,9,29,13.8,2.7,6.2,43.9,0.1,0.4,18.8,1.1,1.3,82,0.7,1.5,2.2,0.3,0.6,0.1,0.2,1.3,0,0,6.6,-4.3
Andrew Bogut,GSW,31,37,33,4,20.9,2.6,4.2,63.6,0,0,0,0.3,0.8,41.4,1.8,5.4,7.2,1.9,1.2,0.3,1.7,3.1,3,0,5.6,5.9
Andrew Nicholson,ORL,26,32,16,16,16.3,2.6,5.8,45.2,0.8,2.1,35.3,0.7,0.9,76.7,0.7,3.2,3.9,0.3,0.8,0.2,0.3,1.4,0,0,6.7,0.3
Andrew Wiggins,MIN,21,44,14,30,34.9,7.4,16.6,44.7,0.6,2.4,24.3,5.4,7.3,74,1.6,2.3,3.9,1.8,2.3,0.8,0.5,2.1,1,0,20.8,-2.6
Anthony Bennett,TOR,23,11,7,4,5.4,0.5,1.7,26.3,0.2,1,18.2,0.6,0.7,87.5,0.5,1.2,1.6,0,0.4,0.3,0,0.7,0,0,1.7,-2.5
Anthony Brown,LAL,23,21,3,18,18.1,1.2,3.9,31.7,0.6,2.1,28.9,0.6,0.7,80,0.3,1.9,2.2,0.4,0.6,0.4,0.2,1,0,0,3.7,1.1
Anthony Davis,NOP,23,38,16,22,35.7,8.8,17.8,49.3,0.5,1.7,28.8,5.2,6.8,76.5,2,8.2,10.3,1.8,2.1,1.3,2.5,2.4,23,0,23.3,-0.7
Anthony Morrow,OKC,30,39,28,11,15.5,2.1,5.1,41.6,1.3,3.1,40.5,0.4,0.5,81,0.2,0.9,1.1,0.3,0.2,0.5,0.1,1,0,0,5.9,2.1
Anthony Tolliver,DET,31,43,22,21,19.2,1.7,4.6,38.3,1.3,3.7,36.3,0.5,0.8,63.6,0.5,2.8,3.3,0.9,0.3,0.4,0.3,1.2,0,0,5.3,1.5
Archie Goodwin,PHX,21,25,7,18,14.9,2.2,5.1,42.2,0.3,1,28,2.2,3.5,64.4,0.2,1.8,2,1.3,1,0.4,0.3,0.9,0,0,6.8,-1.1
Aron Baynes,DET,29,43,22,21,14.2,2.2,4.4,49.7,0,0,0,1,1.4,73.8,1.6,2.8,4.4,0.7,0.9,0.2,0.5,1.9,1,0,5.4,-1.8
Arron Afflalo,NYK,30,38,18,20,33,5.5,11.9,46.2,1.3,3.5,37.1,1.6,1.8,87,0.3,3.3,3.7,1.8,1,0.3,0.2,2.3,0,0,13.9,-0.3
Austin Rivers,LAC,23,40,26,14,22,3.1,7.3,42.3,0.7,2.5,26.7,1,1.4,70.2,0.4,1.5,1.8,1.4,0.8,0.6,0.2,2.1,0,0,7.8,-3.1
Avery Bradley,BOS,25,39,21,18,32.6,5.8,13.3,43.5,2,5.5,36,1.2,1.6,76.2,0.7,1.9,2.6,2.1,1.5,1.6,0.3,2,0,0,14.7,3.6
Ben McLemore,SAC,23,43,20,23,21.1,2.8,6.1,45.4,0.9,2.3,36.6,1.1,1.6,73.1,0.5,1.6,2,1.1,1.5,0.9,0.1,2,0,0,7.5,0.1
Beno Udrih,MEM,33,32,17,15,15.3,1.8,4.1,43.2,0.3,0.9,36.7,0.4,0.4,92.3,0.1,1.4,1.5,2.8,1,0.3,0,1.2,1,0,4.3,0.1
Bismack Biyombo,TOR,23,43,28,15,22.8,1.8,3.6,50.3,0,0,0,1.8,2.7,66.7,2.4,6,8.3,0.3,1.1,0.2,1.6,2.8,5,0,5.4,-0.9
Blake Griffin,LAC,27,30,17,13,34.9,9.4,18.4,50.8,0.2,0.6,35.3,4.3,5.9,72.5,1.6,7,8.7,5,2.4,0.7,0.6,2.8,12,0,23.2,3.6
