Team,GP,W,L,W%,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
Atlanta Hawks,45,26,19,57.8,48.1,38.5,83.8,46,9.2,26.9,34.2,15.9,20.2,78.9,8.6,32.2,40.7,25.5,14.8,9.5,5.6,5.2,18.9,18.4,102.1,2.3
Boston Celtics,44,23,21,52.3,48.3,38.7,89,43.4,9,27.3,32.9,17.5,22.6,77.7,11.8,33.1,44.9,24,14.5,9.5,4.4,5,22.3,20.7,103.8,3.1
Brooklyn Nets,44,11,33,25,48.2,37.6,84.5,44.5,5.4,17,31.9,14.4,19,75.8,10.7,32.5,43.2,21.4,15,7.4,3.9,5.2,18.1,17.8,95.1,-8
Charlotte Hornets,44,21,23,47.7,48.6,36.4,84.6,43,10.1,29.1,34.7,19,24,79.3,9.1,34.5,43.6,21.1,12.8,7,5.3,5.5,18.7,20.8,101.8,0.9
Chicago Bulls,43,25,18,58.1,48.9,38.2,88,43.4,7.5,21.1,35.7,17.8,22.7,78.5,11.8,37.1,48.9,21.7,14.6,6.1,6.2,5.6,18.7,19.2,101.7,0.7
Cleveland Cavaliers,42,30,12,71.4,48.5,37.4,83.2,44.9,10,28.1,35.5,16.2,22.5,72.1,11,34,45,21.9,13.9,6.8,3.8,4.7,20.3,20.7,101,5.2
Dallas Mavericks,45,25,20,55.6,48.8,37.1,84.4,43.9,9.5,28.1,33.8,17.4,22.1,78.8,9,34.6,43.7,21.8,13.2,7,3.7,4.2,19.1,21.9,101.1,0
Denver Nuggets,44,17,27,38.6,48.2,36.7,84.8,43.3,8.1,24,33.9,18,23.7,76.1,11.9,32.4,44.3,22.3,14.6,7.1,4.7,6.4,20.6,21.3,99.5,-3.9
Detroit Pistons,44,23,21,52.3,48.8,38.3,88.5,43.3,8.8,26.4,33.5,16.5,25.3,65,13.7,33.9,47.6,19,13.9,7.7,3.8,4.8,19.1,22,101.9,1.6
Golden State Warriors,44,40,4,90.9,48.5,42.2,86.8,48.6,12.8,30.2,42.4,17.5,23.2,75.4,10.5,36.3,46.8,28.9,15.3,8.3,6.5,4,20.7,20.6,114.7,12.1
Houston Rockets,45,23,22,51.1,48.6,36.6,82.4,44.4,10.6,30.2,35.1,20.6,28.9,71.4,11.1,32,43.1,21.4,16.5,9.9,5,5.5,21.8,22.2,104.5,-1
Indiana Pacers,44,23,21,52.3,48.5,38,85.1,44.7,8.4,24.1,34.8,18.2,24.2,75,10.4,33.2,43.5,20.2,15.1,9.5,4.5,4.6,19.7,21.1,102.6,2.4
Los Angeles Clippers,43,28,15,65.1,48.3,38.5,83,46.3,9.2,25.3,36.5,18.8,27,69.5,9.3,33,42.3,23.3,13,7.8,5.3,3.3,21.6,23.4,105,3.9
Los Angeles Lakers,46,9,37,19.6,48.1,35.2,85.3,41.3,7.6,24.4,31,18.4,24,76.8,10.7,32.1,42.8,18.4,14.2,7.4,4.6,5.7,19.9,18.5,96.4,-10.1
Memphis Grizzlies,45,25,20,55.6,48.2,35.4,81.5,43.4,5.7,17.3,33.2,20,25.1,79.4,10.3,30.7,40.9,20.9,13.4,8.7,4.3,5.4,21.4,21.5,96.5,-2.4
Miami Heat,44,23,21,52.3,48.3,36.2,79,45.8,6.5,19.7,32.9,16.6,22.5,73.7,9.2,33.6,42.8,19.8,14.3,6.2,6.6,4.1,17.2,19.6,95.4,-0.3
Milwaukee Bucks,46,19,27,41.3,48.3,37.9,82,46.2,5.6,15.8,35.4,16.8,22.2,75.6,10.4,31,41.4,23.3,15.2,7.7,5.7,5.6,21.7,19.3,98.1,-4.9
Minnesota Timberwolves,45,14,31,31.1,48.6,36.4,81,44.9,5.1,15.5,32.7,21.2,26.6,79.7,10,32.3,42.3,21.8,15.3,7.7,4.6,5.2,22,21.4,99,-3.8
New Orleans Pelicans,43,16,27,37.2,48.3,38,85.1,44.7,8.9,24.7,35.9,17.4,21.8,79.9,9.1,33.3,42.5,21.9,13.6,7.6,5,4.7,21.1,19.8,102.3,-2.6
New York Knicks,46,22,24,47.8,48.4,37,83.9,44,7.1,21.3,33.3,18.1,22.2,81.4,10.5,33.3,43.7,20.5,13.8,5.9,5.7,4.3,20.7,19,99.1,-1.6
Oklahoma City Thunder,45,33,12,73.3,48.3,40.5,85.3,47.5,7.8,22,35.3,19.8,25.3,78.4,12.6,34.7,47.3,22.1,15.5,7.8,6.5,4.6,20.2,20.2,108.6,8.5
Orlando Magic,42,20,22,47.6,48.7,38.5,85.7,44.9,7.7,22,35.1,14,18.1,77,10.3,33.3,43.6,22.7,14.7,8.1,5,5.7,20.3,17.9,98.7,-0.5
Philadelphia 76ers,44,6,38,13.6,48.3,35.4,82,43.2,8.3,25.2,33,15.1,22.4,67.5,9.6,32.3,42,20.3,17.9,8.2,6.6,6.3,21.8,19.3,94.3,-10.5
Phoenix Suns,45,14,31,31.1,48.1,37.8,85.7,44.2,9.4,25.4,37.2,16.4,21.9,75.2,10.5,32.5,43,20.5,16.6,8.6,3.8,4.9,21.9,20.5,101.5,-5.1
Portland Trail Blazers,46,20,26,43.5,48.2,38.1,85.7,44.5,10.2,28.5,36,15.3,21.2,72.1,11.9,34,45.9,21.2,14.9,6.5,4,5.2,21.8,18.4,101.8,-1
Sacramento Kings,43,20,23,46.5,48.3,39.7,86.1,46.1,8.2,22.7,36,18.6,25.8,72.1,10.9,34.6,45.4,24.6,16.6,8.4,4.3,5.5,20.7,22,106.1,-1.1
